NAME,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,SHA,S,SPCT
Connor McDavid C,53.00,21.00,68.00,89.00,19.00,28.00,0.90,5.00,26.00,1.00,0.00,177.00,11.90
Leon Draisaitl C,55.00,28.00,43.00,71.00,12.00,60.00,0.87,14.00,14.00,0.00,2.00,145.00,19.30
Zach Hyman LW,54.00,37.00,19.00,56.00,19.00,40.00,0.82,11.00,4.00,0.00,0.00,198.00,18.70
Evan Bouchard D,55.00,14.00,40.00,54.00,11.00,20.00,0.95,6.00,19.00,0.00,0.00,148.00,9.50
Ryan Nugent-Hopkins C,54.00,15.00,35.00,50.00,7.00,26.00,0.83,3.00,15.00,0.00,3.00,125.00,12.00
Evander Kane LW,54.00,21.00,14.00,35.00,-6.00,70.00,0.72,2.00,3.00,1.00,0.00,167.00,12.60
Warren Foegele LW,55.00,13.00,16.00,29.00,-1.00,34.00,0.58,1.00,0.00,0.00,1.00,132.00,9.80
Mattias Ekholm D,54.00,4.00,20.00,24.00,20.00,35.00,0.87,2.00,1.00,1.00,0.00,112.00,3.60
Darnell Nurse D,55.00,6.00,14.00,20.00,5.00,36.00,0.93,1.00,2.00,1.00,0.00,115.00,5.20
Ryan McLeod C,54.00,9.00,11.00,20.00,10.00,6.00,0.60,0.00,1.00,0.00,1.00,74.00,12.20
Cody Ceci D,55.00,1.00,16.00,17.00,10.00,12.00,0.84,0.00,0.00,0.00,1.00,63.00,1.60
Derek Ryan C,55.00,5.00,6.00,11.00,-1.00,4.00,0.43,0.00,0.00,2.00,1.00,40.00,12.50
Sam Gagner C *,26.00,5.00,5.00,10.00,0.00,10.00,0.42,0.00,1.00,0.00,0.00,44.00,11.40
Brett Kulak D,55.00,2.00,7.00,9.00,3.00,22.00,0.62,0.00,0.00,0.00,0.00,58.00,3.40
Mattias Janmark C,44.00,4.00,5.00,9.00,-3.00,39.00,0.50,0.00,0.00,0.00,0.00,48.00,8.30
Vincent Desharnais D,53.00,1.00,8.00,9.00,3.00,39.00,0.63,0.00,0.00,0.00,1.00,33.00,3.00
Corey Perry RW *,16.00,4.00,5.00,9.00,-5.00,12.00,0.61,1.00,1.00,0.00,0.00,26.00,15.40
Connor Brown RW,47.00,0.00,4.00,4.00,-9.00,6.00,0.55,0.00,0.00,0.00,0.00,79.00,0.00
Dylan Holloway LW,27.00,3.00,1.00,4.00,-3.00,27.00,0.47,0.00,0.00,0.00,0.00,38.00,7.90
James Hamblin LW,31.00,2.00,1.00,3.00,3.00,0.00,0.33,0.00,0.00,0.00,0.00,18.00,11.10
Adam Erne LW,23.00,1.00,1.00,2.00,2.00,9.00,0.32,0.00,0.00,0.00,0.00,13.00,7.70
Philip Broberg D,10.00,0.00,0.00,0.00,-2.00,0.00,0.44,0.00,0.00,0.00,0.00,4.00,0.00
Raphael Lavoie C,7.00,0.00,0.00,0.00,-2.00,2.00,0.30,0.00,0.00,0.00,0.00,4.00,0.00
Philip Kemp D,1.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
