DATE,Venue,former team,Oponent,oponent score,former score,result,OT,GOALIE,TOP PERFORMER
2023-10-11,B,Oilers,Vancouver,8,1,L,no ot,Campbell,Draisaitl
2023-10-14,A,Oilers,Vancouver,4,3,L,no ot,Skinner,Nugent-Hopkins
2023-10-17,B,Oilers,Nashville,1,6,W,no ot,Campbell,Campbell
2023-10-19,B,Oilers,Philadelphia,4,1,L,no ot,Campbell,Ceci
2023-10-21,A,Oilers,Winnipeg,3,2,L,OT,Skinner,McDavid
2023-10-24,B,Oilers,Minnesota,7,4,L,no ot,Campbell,Draisaitl
2023-10-26,A,Oilers,New York,3,0,L,no ot,Skinner,Skinner
2023-10-29,A,Oilers,Calgary,2,5,W,no ot,Skinner,Kane
2023-11-02,A,Oilers,Dallas,4,3,L,no ot,Skinner,Gagner
2023-11-04,A,Oilers,Nashville,2,5,W,no ot,Campbell,Bouchard
2023-11-06,B,Oilers,Vancouver,6,2,L,no ot,Skinner,Gagner
2023-11-09,B,Oilers,San Jose,2,3,W,no ot,Skinner,Bouchard
2023-11-11,B,Oilers,Seattle,1,4,W,no ot,Skinner,Hyman
2023-11-13,A,Oilers,New York,1,4,W,no ot,Skinner,Skinner
2023-11-15,A,Oilers,Seattle,3,4,W,OT,Skinner,Kane
2023-11-18,B,Oilers,Tampa Bay,6,4,L,no ot,Skinner,Ryan
2023-11-20,B,Oilers,Florida,5,3,L,no ot,Pickard,McDavid
2023-11-22,B,Oilers,Carolina,3,6,W,no ot,Skinner,Hyman
2023-11-24,B,Oilers,Washington,0,5,W,no ot,Skinner,Skinner
2023-11-26,A,Oilers,Anaheim,2,8,W,no ot,Skinner,McDavid
2023-11-28,A,Oilers,Vegas,4,5,W,SO,Skinner,McDavid
2023-11-30,B,Oilers,Winnipeg,1,3,W,no ot,Skinner,Skinner
2023-12-06,A,Oilers,Carolina,1,6,W,no ot,Skinner,Skinner
2023-12-08,A,Oilers,Minnesota,3,4,W,no ot,Skinner,Nugent-Hopkins
2023-12-10,A,Oilers,New Jersey,1,4,W,no ot,Pickard,Pickard
2023-12-12,A,Oilers,Chicago,1,4,W,no ot,Skinner,Gagner
2023-12-14,A,Oilers,Tampa Bay,7,4,L,no ot,Skinner,Nugent-Hopkins
2023-12-16,B,Oilers,Florida,5,1,L,no ot,Pickard,Hyman
2023-12-19,B,Oilers,New York,3,1,L,no ot,Skinner,Ekholm
2023-12-21,B,Oilers,New Jersey,3,6,W,no ot,Pickard,McLeod
2023-12-22,B,Oilers,New York,3,4,W,no ot,Skinner,Foegele
2023-12-28,B,Oilers,San Jose,0,5,W,no ot,Skinner,Skinner
2023-12-30,B,Oilers,Los Angeles,2,3,W,SO,Skinner,McDavid
2023-12-31,B,Oilers,Anaheim,2,7,W,no ot,Pickard,Foegele
2024-01-02,A,Oilers,Philadelphia,2,5,W,no ot,Skinner,McDavid
2024-01-06,A,Oilers,Ottawa,1,3,W,no ot,Skinner,Hyman
2024-01-09,B,Oilers,Chicago,1,2,W,no ot,Skinner,Skinner
2024-01-11,B,Oilers,Detroit,2,3,W,OT,Pickard,Hyman
2024-01-13,B,Oilers,Montreal,1,2,W,OT,Skinner,Skinner
2024-01-16,A,Oilers,Toronto,2,4,W,no ot,Skinner,McLeod
2024-01-18,A,Oilers,Seattle,2,4,W,no ot,Skinner,Draisaitl
2024-01-20,B,Oilers,Calgary,1,3,W,no ot,Skinner,Skinner
2024-01-23,A,Oilers,Columbus,1,4,W,no ot,Skinner,Skinner
2024-01-25,A,Oilers,Chicago,0,3,W,no ot,Pickard,Pickard
2024-01-27,A,Oilers,Nashville,4,1,L,no ot,Skinner,McDavid
2024-02-06,B,Oilers,Vegas,3,1,L,no ot,Skinner,McDavid
2024-02-09,B,Oilers,Anaheim,3,5,W,no ot,Pickard,Kane
2024-02-10,B,Oilers,Los Angeles,4,0,L,no ot,Skinner,Foegele
2024-02-13,A,Oilers,Detroit,4,8,W,no ot,Skinner,McDavid
2024-02-15,B,Oilers,St. Louis,6,3,L,no ot,Skinner,McDavid
2024-02-17,B,Oilers,Dallas,3,4,W,OT,Pickard,Bouchard
2024-02-19,B,Oilers,Arizona,3,6,W,no ot,Skinner,Kane
2024-02-21,A,Oilers,Boston,6,5,L,OT,Skinner,Foegele
2024-02-23,A,Oilers,Minnesota,4,2,L,no ot,Pickard,Draisaitl
2024-02-24,A,Oilers,Calgary,6,3,L,no ot,Skinner,Hyman
